Population,Localidad/ubicación,Año,Edad,Sexo,Causa de muerte o lesión,Medir,Valor,Límite inferior,Límite superior
Toda la población,México,2001,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1094212.922114021,1012673.1441597878,1179769.5065339229
Toda la población,México,2002,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1136993.6463253924,1050078.2461008464,1229027.5429606598
Toda la población,México,2003,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1197034.4208367723,1103476.294041526,1294933.1735161343
Toda la población,México,2004,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1253567.690163281,1157640.7732050712,1362387.511758103
Toda la población,México,2005,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1314141.4637165093,1216391.1353654691,1425640.259316323
Toda la población,México,2006,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1425434.2808100395,1320848.918430592,1535031.1170090067
Toda la población,México,2007,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1570801.2954079239,1455403.093987955,1683270.084177407
Toda la población,México,2008,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1682183.6290442073,1560583.4847432864,1805431.207935896
Toda la población,México,2009,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1681375.0033700955,1548876.0369208595,1804358.2418367607
Toda la población,México,2010,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1762830.7384133188,1630667.2797476677,1893167.3680647507
Toda la población,México,2011,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1779961.2501542736,1649576.7357833139,1913547.2722819746
Toda la población,México,2012,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1824955.906802142,1701501.246685538,1963035.9777254139
Toda la población,México,2013,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1840090.1457446425,1712505.3851033286,1977927.1695681894
Toda la población,México,2014,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1842587.3354697963,1712363.77595925,1973541.6851157793
Toda la población,México,2015,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1953202.3642454275,1810642.5128678472,2088177.903640547
Toda la población,México,2016,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,2024239.3834688405,1881152.924252801,2158431.17801887
Toda la población,México,2017,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,2031606.512212115,1896405.0910950492,2173208.6101679127
Toda la población,México,2018,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1917747.85854417,1790107.6389175446,2059406.5513747577
Toda la población,México,2019,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1941052.6779159694,1812014.6559456051,2086907.7683129876
Toda la población,México,2020,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1993480.3429565714,1869200.3067197693,2145882.909012215
Toda la población,México,2021,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,2028264.58589256,1905020.0429150206,2176594.159473654
Toda la población,México,2022,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1893005.2583444915,1768010.3561950396,2038080.597678767
Toda la población,México,2023,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1916204.03310912,1764572.398289977,2074107.966610514
Toda la población,Brasil,1990,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,570100.4167436439,516300.30793058814,619238.3618683188
Toda la población,Brasil,1991,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,563595.6708496773,510183.1561988676,615726.6697469559
Toda la población,Brasil,1992,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,583476.4031233268,530000.548480687,637849.0036101493
Toda la población,Brasil,1993,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,610969.5545060164,554720.5459736746,667662.5384981057
Toda la población,Brasil,1994,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,624399.3588376838,569013.8380681814,680676.1592375769
Toda la población,Brasil,1995,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,637529.6058001762,579167.9175964446,696554.6327380808
Toda la población,Brasil,1996,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,691231.1954866436,628629.7504152345,755321.7142191085
Toda la población,Brasil,1997,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,727837.0173143293,661888.7403820499,791628.7706069688
Toda la población,Brasil,1998,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,765258.1902312856,694657.3016377718,836186.6233710829
Toda la población,Brasil,1999,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,799188.1816059408,724614.1219837794,874215.4101658606
Toda la población,Brasil,2000,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,826852.9537847015,748155.6896427721,905294.5385650571
Toda la población,Brasil,2001,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,844800.2238852591,759501.9450057965,927386.9882368332
Toda la población,Brasil,2002,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,857559.9664626551,770090.5624745418,940346.3763311182
Toda la población,Brasil,2003,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,876003.5838081266,787262.1618807791,959364.9954978777
Toda la población,Brasil,2004,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,890781.8589249686,804097.013915093,976209.7004167954
Toda la población,Brasil,2005,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,881340.6829815032,797094.8430736805,965021.4688612784
Toda la población,Brasil,2006,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,883083.4781896526,798340.6973705833,967130.666111867
Toda la población,Brasil,2007,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,903484.5799093323,819699.074446749,985690.2587991727
Toda la población,Brasil,2008,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,930741.6554403873,845217.9423684449,1014094.013443878
Toda la población,Brasil,2009,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,964434.1762535976,873531.7246408269,1053243.8253631454
Toda la población,Brasil,2010,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1004433.0729397754,914336.7242544723,1089355.6888512739
Toda la población,Brasil,2011,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1036234.644285287,941365.2252415003,1122840.1831967442
